component,value,proportion,img_date
Comp.1,31.934854914625777,0.7096634425472405,2021_06_05
Comp.2,11.89308792906324,0.26429084286807236,2021_06_05
Comp.3,0.5483417022701593,0.012185371161559114,2021_06_05
Comp.1,37.62336590113174,0.836074797802928,2021_06_11
Comp.2,6.718096579468766,0.149291035099306,2021_06_11
Comp.1,30.34566691880457,0.6896742481546491,2021_09_05
Comp.2,7.533697794784531,0.17122040442692107,2021_09_05
Comp.3,1.0386437253586631,0.02360553921269688,2021_09_05
Comp.4,0.7926930824875141,0.018015751874716223,2021_09_05
Comp.5,0.6906174892578396,0.015695852028587257,2021_09_05
Comp.6,0.5806212030473573,0.013195936432894477,2021_09_05
Comp.7,0.5219395773302068,0.011862263121141059,2021_09_05
Comp.1,32.670322394498264,0.7425073271476869,2021_11_02
Comp.2,4.23420777624639,0.09623199491469056,2021_11_02
Comp.3,1.548724828804989,0.035198291563749706,2021_11_02
Comp.4,0.7990543998276227,0.018160327268809583,2021_11_02
Comp.5,0.6983176722064592,0.015870856186510417,2021_11_02
Comp.6,0.45010993432900454,0.01022977123475009,2021_11_02
Comp.1,35.87989589052826,0.8154521793301879,2021_12_13
Comp.2,2.2970381782119813,0.0522054131411814,2021_12_13
Comp.3,0.8902975805129469,0.020234035920748798,2021_12_13
Comp.4,0.7622241629113319,0.017323276429803,2021_12_13
Comp.5,0.6574356336406071,0.014941718946377436,2021_12_13
Comp.6,0.4449225969904439,0.010111877204328271,2021_12_13
Comp.1,40.362097453709005,0.8969354989713118,2022_05_13
Comp.2,4.237214146000696,0.09416031435557108,2022_05_13
Comp.1,29.78248239663932,0.6618329421475407,2022_06_16
Comp.2,7.794924177585485,0.17322053727967754,2022_06_16
Comp.3,3.0132639261571383,0.06696142058126978,2022_06_16
Comp.4,0.9781285224767418,0.02173618938837205,2022_06_16
Comp.5,0.6368672805729054,0.014152606234953461,2022_06_16
Comp.6,0.5385812361245061,0.011968471913877921,2022_06_16
Comp.1,27.027529025037897,0.6006117561119535,2022_07_27
Comp.2,10.762481675384644,0.2391662594529922,2022_07_27
Comp.3,2.7134406046850637,0.06029868010411255,2022_07_27
Comp.4,0.8459402932498117,0.018798673183329156,2022_07_27
Comp.5,0.5202202377864438,0.011560449728587645,2022_07_27
