sensor,date,n,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Comp.9,Comp.10
AVNG,20160822,46,3.239517953177808,0.0072396939183396155,-0.008941150113707082,-0.006662795017067876,-3.392864713168614e-4,-2.6731579762835075e-4,1.6485039704073563e-4,-4.7839778413983825e-5,-4.80245834103158e-5,-8.289349879145875e-5
AVNG,20160831,46,4.722250798269008,0.0066038174524159585,-0.005298280264967401,-0.004591153176412453,-5.350440507189322e-4,-2.1719283489354585e-4,1.7837572317206944e-4,-2.171816989730937e-5,-5.766095908414047e-5,-1.1863066667990042e-4
DESIS,2020_06_02,8,9.551822130992871,0.267863032276024,-0.19943649306497055,0.8184901646682634,-0.08178071028422215,-0.1623213185056619,-0.09316815737828796,0.3066285846619766,-0.08173644402513863,-0.0033122544106186963
DESIS,2020_12_25,9,2.995595170130255,1.1559953852740166,0.21362075966324648,-0.013945842932152374,-0.0806360645957723,-0.11855657990203167,-0.13257824786424602,0.12990225162676916,-0.04959870269987544,-0.0063375054831861
DESIS,2021_06_15,9,4.566896802515354,1.1140810668099144,-0.15401879816005168,0.3357900869981065,-0.20673533017687243,-0.1037055854555447,-0.052846944016624625,0.09733064222365417,-0.039234324610250434,0.011831738850361592
DESIS,2021_08_15,6,5.009984091834029,2.353274822989377,-0.12852708032374932,0.5328601000137887,-0.273081189153172,-0.14310362312610017,-0.03174846168206339,0.16847085001344375,-0.04094753037265821,0.02228820204654388
DESIS,2022_06_02,9,4.298181040446962,0.5006220047237391,0.03921098587971285,0.3306245127908449,-0.09661577751974339,-0.07122034008651268,-0.08437249889840609,0.06526440932543326,-0.05304068239570733,-0.004008140303481049
DESIS,2022_06_23,12,4.426199913001161,1.7751627412865454,-0.37786959272788107,0.39523196723484866,-0.0769678782210715,-0.08468596502548398,-0.10389184062988867,0.09643542320749393,-0.03959121763650084,0.008452238846147294
DESIS,2022_08_31,12,1.8323829432296803,0.4003018453708851,-0.1043214650964631,0.13178225412301564,-0.01421337373395008,-0.0446641992670498,-0.04357299496223771,0.06256042171329698,-0.04471660302383055,-0.02115849602611391
DESIS,2022_10_10,8,2.8394457723775113,0.9165405366371537,0.49122753324403723,0.24401761607189448,-0.017353186776103674,-0.021702710267743654,-0.07233645370010143,0.07546360354908976,-0.04722834073027477,-0.011544720243498481
PRISMA,2021_06_11,36,1.3912948996101038,0.16131273450284098,-0.006111432453183454,0.08421832303336886,0.0035166222718671747,-7.586972092697319e-4,-0.0019002806393608233,-0.003806995875192999,0.006757201950764225,-7.691220151861162e-4
PRISMA,2021_09_05,36,3.043681850040059,0.4157456827671274,-0.047775099480604426,0.05125180168046051,0.01616066178845888,-0.021016048179563266,-0.026945875490231794,-0.027844034827623643,0.013055792995184107,0.004699655693470298
PRISMA,2021_11_02,36,2.316551352685202,0.03653553956755741,-0.018176991448035956,0.024368426726383695,0.006130666417097142,-0.00547572397846868,-0.006524835630061171,-0.006426465360606107,0.005632594578891145,0.002243555567993315
PRISMA,2021_12_13,36,2.6505181988556084,0.09803214267605256,-0.033498617250309094,0.02250195530991607,0.014990241563942817,-0.01892311610788295,-0.023728987131942752,-0.028839006245351337,0.01195967900014166,0.0023240967910729154
PRISMA,2022_05_13,2,3.0715629917853837,0.1374731390046658,-0.12316887011278192,0.04374533677521465,9.211048450672148e-4,-0.026552364061429676,-0.00924414991143999,-0.01469389320942008,0.034637440407885974,0.0010446858477339404
PRISMA,2022_06_16,36,3.340206110541601,0.32753838713339684,-0.16329018049913768,0.04478421695369071,0.014339973603491247,-0.021231640597003748,-0.031283110994241164,-0.04570428056147784,0.012095478824026253,0.007047074003491404
PRISMA,2022_07_27,33,2.7139307164495823,0.3707078447001149,-0.15917230157498735,0.012468890682804035,0.003832331225518393,-0.002591708864552695,7.874230526026958e-4,-0.004468617548376497,0.004948580340604406,-0.001790741672046755
